Unnamed: 0,age,gender,study_hours,attendance,extracurricular,parental_education,region,score
1745,15,male,0.9,82,yes,high school,east,9.56
1811,17,male,3.0,68,no,high school,north,12.27
2962,16,male,0.4,95,yes,high school,north,5.48
1118,18,female,2.4,53,yes,none,south,0.0
3773,18,male,1.0,97,no,high school,south,3.65
2555,16,female,1.6,89,yes,bachelor,north,60.6
1140,15,male,1.2,93,yes,bachelor,east,17.74
3591,18,female,0.9,51,no,high school,south,0.0
2977,15,male,4.4,60,yes,high school,east,28.5
2423,16,female,1.6,87,yes,none,west,0.0
1651,16,female,1.3,89,no,bachelor,south,9.04
4151,17,female,0.3,50,yes,none,east,4.46
2151,16,male,1.7,80,yes,high school,south,27.24
734,16,female,3.3,96,yes,bachelor,south,15.38
1991,16,male,1.9,62,yes,bachelor,south,21.21
430,16,female,0.9,97,no,high school,east,2.26
2120,15,male,2.1,83,yes,none,north,6.33
14,15,female,0.2,80,yes,none,west,0.0
1332,16,female,9.9,83,yes,high school,east,79.17
2964,15,male,0.5,80,yes,bachelor,east,13.9
4141,15,male,3.4,64,yes,none,east,3.97
1254,16,female,0.3,83,yes,high school,east,8.83
107,16,female,2.4,81,no,bachelor,west,8.26
3864,16,male,1.0,94,yes,none,east,7.74
891,17,female,3.6,98,no,none,south,15.14
1420,16,male,0.6,83,no,none,south,3.77
2562,18,male,1.2,53,no,high school,south,0.0
1538,18,female,3.0,59,yes,high school,south,37.65
818,15,male,1.8,63,no,high school,south,0.0
2317,17,female,2.4,99,no,master,east,44.33
3395,18,male,1.0,91,yes,high school,south,0.0
2429,17,male,0.2,92,yes,none,south,0.0
2506,17,female,1.2,60,no,bachelor,south,5.12
1097,15,male,4.2,51,no,bachelor,south,7.06
32,18,female,1.4,96,no,high school,east,0.0
1250,15,male,1.8,92,no,bachelor,south,0.0
374,16,male,4.7,82,yes,high school,east,9.92
1966,15,male,0.9,81,yes,high school,east,9.62
1346,18,female,0.5,50,yes,high school,south,0.0
2487,15,male,8.6,58,no,none,south,25.02
3221,17,male,1.1,87,no,high school,east,7.79
3046,16,male,1.0,88,no,none,east,5.89
3020,15,female,5.6,82,yes,high school,south,41.73
797,18,female,1.5,82,no,high school,east,11.42
1478,17,male,1.5,63,no,high school,west,0.0
2036,16,female,0.2,92,no,none,south,0.0
2648,16,male,0.4,99,yes,none,east,5.37
4074,17,male,1.9,59,yes,none,south,0.11
3742,18,male,4.5,59,no,high school,east,9.87
4023,17,female,1.1,80,no,bachelor,south,3.52
455,17,male,1.8,94,yes,none,south,3.62
1462,15,male,4.4,83,yes,high school,south,12.52
3033,15,male,1.8,62,no,master,east,14.67
2887,15,male,3.5,92,no,high school,south,16.95
3106,15,female,0.7,66,no,none,north,0.0
3157,15,female,1.4,91,no,high school,south,1.83
2900,16,female,9.2,80,no,none,east,24.16
2794,15,male,2.1,58,no,none,west,0.0
1792,18,male,2.0,57,no,bachelor,east,37.2
4195,17,male,1.4,98,no,master,south,9.02
3921,18,female,2.3,82,yes,bachelor,east,13.86
36,17,female,7.2,92,yes,high school,south,22.54
2361,18,female,9.2,52,no,none,east,55.21
3811,16,female,3.3,80,yes,none,south,10.63
1757,18,male,3.5,66,no,high school,north,17.63
3596,16,male,0.3,90,yes,high school,east,4.52
1058,16,female,0.3,53,no,high school,south,0.0
1529,17,female,4.6,60,yes,high school,east,6.53
3432,16,male,1.8,67,no,none,east,0.0
4165,17,male,1.4,65,no,none,north,3.3
2539,16,female,1.2,84,no,high school,north,27.29
2566,15,male,2.0,98,no,high school,west,0.0
1729,17,male,6.9,59,no,bachelor,east,27.79
1461,18,male,1.5,52,yes,master,east,35.71
1681,15,female,1.9,80,no,bachelor,south,4.76
1904,18,female,0.3,93,yes,high school,east,6.45
2588,16,female,0.3,87,no,none,west,0.0
3208,18,female,7.6,65,no,none,south,9.3
1634,16,male,0.2,57,no,high school,north,2.4
1706,18,male,1.9,59,no,bachelor,south,11.58
3226,16,male,0.9,96,yes,none,west,1.05
2103,17,female,1.6,69,no,master,north,14.08
3214,15,male,0.7,66,yes,none,east,24.18
2316,17,male,0.8,85,no,high school,north,29.3
244,18,female,2.8,87,yes,none,south,2.06
366,15,male,1.1,52,no,high school,east,2.35
3911,17,female,0.8,97,no,none,north,4.99
3230,16,female,0.5,88,yes,bachelor,east,18.36
1804,15,female,6.4,84,no,bachelor,west,22.13
2901,15,male,9.8,92,no,high school,south,55.72
4110,17,female,4.7,81,yes,high school,north,16.4
3592,15,female,6.0,62,yes,high school,east,18.74
3324,17,female,0.6,83,yes,none,west,0.0
1105,18,female,4.3,89,yes,none,west,0.0
229,16,male,8.2,69,yes,none,south,9.71
3609,16,female,3.3,66,no,master,west,18.06
779,17,female,1.3,62,yes,high school,south,0.87
3825,15,female,1.1,99,no,none,east,3.64
1266,18,male,3.6,82,no,none,south,7.54
67,18,female,1.0,86,yes,bachelor,south,5.6
584,18,female,0.2,55,yes,high school,east,4.31
3051,18,male,0.5,95,no,high school,south,0.0
4190,18,female,1.3,93,yes,high school,east,18.51
3454,15,male,0.8,95,yes,high school,south,0.0
71,17,female,3.5,98,no,high school,east,33.52
1222,15,male,2.9,60,yes,none,south,11.9
2441,16,male,6.1,90,no,high school,west,23.71
297,16,female,4.8,66,no,high school,north,21.66
2306,17,male,0.6,82,yes,high school,north,1.71
3059,17,male,1.4,67,yes,none,south,0.0
2201,17,female,4.4,67,yes,high school,north,26.33
1119,18,male,3.1,82,no,master,north,30.38
3109,15,male,1.4,86,yes,none,east,0.49
588,16,female,1.6,66,no,high school,east,3.81
1443,15,male,0.6,94,no,master,south,13.66
783,16,male,0.3,96,yes,high school,south,1.61
436,17,male,10.0,51,no,none,east,24.09
1164,15,male,3.8,59,yes,none,south,6.42
2234,17,male,0.5,82,yes,none,north,3.14
