emp_score,emp_degree,emp_experience,emp_hours,emp_age
84.0,1,30,7.0,58
100.0,1,29,11.6,48
88.2,1,4,9.9,56
82.0,1,29,8.8,51
69.9,1,24,5.2,23
70.3,1,9,5.2,55
73.9,1,0,4.5,51
67.9,0,9,10.9,32
85.4,1,4,8.8,31
90.4,1,11,9.7,23
74.3,1,21,4.2,54
71.8,0,29,11.8,49
69.8,0,26,10.7,20
75.1,1,6,5.7,20
71.9,0,8,5.5,39
70.9,1,21,5.5,39
73.0,0,20,6.4,27
87.9,1,11,8.2,20
82.7,1,22,7.5,29
91.0,1,28,6.3,46
63.6,0,0,8.9,34
63.3,0,10,5.1,24
60.2,0,29,6.3,30
71.7,0,20,6.9,19
92.9,1,14,7.6,21
100.0,1,1,10.3,27
81.3,1,19,5.6,56
85.5,1,6,8.1,41
87.5,1,20,8.7,34
61.3,1,11,4.4,23
79.0,0,21,8.9,36
76.5,1,17,5.4,22
67.9,1,2,4.5,49
100.0,1,6,11.6,27
66.9,0,10,11.7,26
99.1,1,17,10.5,44
78.1,1,11,6.4,30
74.7,1,5,4.8,36
92.3,1,4,9.5,38
76.6,1,25,7.5,41
72.8,1,0,5.0,55
73.2,0,11,8.0,21
69.1,1,26,4.3,41
75.2,0,30,11.3,52
72.1,1,25,6.1,20
91.7,1,10,9.3,21
63.4,0,3,6.5,54
90.5,1,26,8.2,57
68.5,0,17,8.4,52
78.1,1,3,5.5,48
100.0,1,16,11.8,42
99.4,1,1,10.2,57
72.9,0,28,11.5,30
95.2,1,23,11.2,21
89.5,1,21,8.8,31
68.7,0,1,11.4,30
69.5,1,11,4.7,44
63.7,0,30,5.6,23
64.7,1,5,4.4,34
56.8,0,9,6.6,53
78.7,1,24,7.1,57
78.7,1,22,6.2,52
63.9,0,24,10.6,34
66.9,0,20,6.9,58
75.7,0,22,6.2,19
92.7,1,26,8.3,30
73.3,0,15,5.1,19
98.8,1,30,10.4,45
70.4,0,13,4.6,60
68.3,0,6,11.9,43
92.6,1,27,10.2,39
51.9,0,27,5.6,60
74.1,1,18,4.0,20
100.0,1,22,10.5,52
90.7,1,16,9.7,29
