Date,Hour,Season,Temperature(°C),Humidity(%),Dew Point(°C),Solar Radiation(MJ/m2),Residents,AC Usage(hours),Heater Usage(hours),Holiday,Functioning Day,Electricity Usage(kWh)
2022-01-01,0,Autumn,27.9,60.1,25.7,5.39,2,3.2,2.2,No Holiday,Yes,42.5
2022-01-01,1,Winter,20.3,56.3,18.2,4.04,3,4.1,1.8,Holiday,No,42.8
2022-01-01,2,Spring,28.9,51.5,27.7,4.92,3,2.5,0.8,No Holiday,Yes,44.1
2022-01-01,3,Autumn,30.1,51.8,28.5,4.87,2,8.7,2.7,No Holiday,Yes,58.7
2022-01-01,4,Autumn,29.8,54.1,26.4,5.32,4,7.8,1.8,No Holiday,Yes,51.6
2022-01-01,5,Winter,32.4,53.9,30.6,5.03,5,6.2,0.4,Holiday,No,49.5
2022-01-01,6,Spring,31.2,52.6,28.8,5.61,2,9.3,1.5,No Holiday,Yes,52.9
2022-01-01,7,Spring,29.3,51.0,27.6,4.36,2,6.5,2.9,No Holiday,Yes,51.3
2022-01-01,8,Autumn,26.6,55.2,25.7,4.12,2,4.7,0.1,Holiday,No,45.6
2022-01-01,9,Summer,18.7,60.1,16.8,4.21,2,5.7,1.0,No Holiday,Yes,42.1
2022-01-01,10,Autumn,29.1,58.6,27.3,4.87,2,7.7,2.1,No Holiday,Yes,55.4
2022-01-01,11,Autumn,28.0,54.4,26.2,4.58,4,3.2,3.4,No Holiday,Yes,51.2
2022-01-01,12,Autumn,28.4,54.8,26.4,5.28,1,2.7,3.0,No Holiday,Yes,46.2
2022-01-01,13,Autumn,20.6,55.1,18.5,3.76,5,5.8,3.5,No Holiday,Yes,44.4
2022-01-01,14,Winter,21.6,58.4,19.7,4.06,1,3.8,2.2,No Holiday,Yes,39.1
2022-01-01,15,Spring,32.3,51.9,30.9,5.93,2,0.5,1.8,Holiday,No,41.4
2022-01-01,16,Winter,26.8,59.3,24.6,5.45,1,2.5,2.8,Holiday,No,42.3
2022-01-01,17,Winter,30.4,48.7,29.4,5.83,4,4.4,1.1,No Holiday,Yes,50.0
2022-01-01,18,Winter,27.1,55.4,26.2,4.57,3,5.1,1.0,No Holiday,Yes,47.5
2022-01-01,19,Autumn,27.1,58.1,24.8,5.33,1,5.2,0.8,Holiday,No,45.2
2022-01-01,20,Summer,31.7,56.2,29.4,4.69,5,9.0,3.1,No Holiday,Yes,60.0
2022-01-01,21,Spring,24.4,68.4,22.4,3.99,4,4.6,1.2,No Holiday,Yes,46.0
2022-01-01,22,Summer,27.5,58.2,26.2,3.57,3,5.6,3.0,No Holiday,Yes,53.5
2022-01-01,23,Winter,24.7,53.6,23.0,5.31,4,1.7,2.1,No Holiday,Yes,33.6
2022-01-02,0,Winter,24.8,57.2,23.0,4.05,2,4.9,3.1,No Holiday,Yes,46.7
2022-01-02,1,Summer,25.5,50.3,24.3,4.48,3,5.7,0.9,Holiday,No,45.8
2022-01-02,2,Summer,28.1,56.2,26.5,4.36,5,2.2,1.4,No Holiday,Yes,43.5
2022-01-02,3,Summer,24.6,54.3,22.3,4.81,3,3.1,2.5,No Holiday,Yes,42.7
2022-01-02,4,Winter,33.3,58.7,30.6,5.14,5,6.0,1.6,No Holiday,Yes,55.1
2022-01-02,5,Winter,22.5,56.0,20.7,3.6,2,3.9,0.0,No Holiday,Yes,37.9
2022-01-02,6,Spring,26.1,56.7,23.7,4.83,5,4.8,0.6,No Holiday,Yes,41.8
2022-01-02,7,Spring,24.8,55.0,23.8,3.76,4,6.1,0.9,Holiday,No,48.4
2022-01-02,8,Winter,34.2,61.7,31.9,5.0,1,9.1,1.0,Holiday,No,62.5
2022-01-02,9,Summer,28.0,55.3,26.4,3.74,4,4.6,2.7,No Holiday,Yes,50.2
